Date,Machine_ID,Problem_Type,Service_Status,Cost,Hours
2022-03-20,MCH-3092,Overheating,Completed,5884.53,11
2022-10-12,MCH-6670,Sensor Error,Pending,32662.81,7
2023-10-16,MCH-9536,Sensor Error,Pending,48015.54,9
2021-09-26,MCH-8698,Wear and Tear,Pending,9217.74,2
2024-01-24,MCH-3175,Software Crash,Cancelled,9265.56,3
2021-09-04,MCH-8649,Wear and Tear,In Progress,42692.45,6
2024-04-28,MCH-5365,Calibration Issue,Pending,39008.93,12
2020-09-16,MCH-5798,Leakage,Cancelled,27930.61,12
2022-06-29,MCH-8105,Sensor Error,Completed,21821.32,6
2020-03-18,MCH-5058,Calibration Issue,Cancelled,1140.47,12
2025-10-28,MCH-7504,Power Failure,In Progress,30416.1,7
2022-07-16,MCH-8290,Mechanical Jam,Pending,20889.54,7
2023-06-01,MCH-7621,Power Failure,Pending,45478.32,11
2023-03-31,MCH-7884,Software Crash,Pending,42543.94,9
2021-04-11,MCH-7363,Sensor Error,Completed,4454.95,10
2021-06-16,MCH-1679,Leakage,Pending,45071.83,11
2023-07-19,MCH-2771,Overheating,Completed,31877.96,1
2022-01-18,MCH-1236,Power Failure,Pending,45969.08,8
2022-06-21,MCH-5714,Power Failure,Cancelled,791.99,7
2020-10-31,MCH-1242,Mechanical Jam,Completed,18823.85,3
2020-04-09,MCH-4131,Power Failure,Pending,5877.59,3
2021-07-16,MCH-2311,Wear and Tear,Cancelled,12348.28,7
2025-08-06,MCH-5635,Calibration Issue,Completed,31160.32,4
2021-12-30,MCH-6212,Power Failure,Pending,6284.8,2
2024-01-31,MCH-3609,Software Crash,Cancelled,47478.77,1
2022-12-24,MCH-2692,Sensor Error,In Progress,26607.05,11
2023-06-15,MCH-9957,Sensor Error,In Progress,3589.2,9
2023-11-03,MCH-8251,Overheating,In Progress,35980.69,7
2021-01-17,MCH-5183,Mechanical Jam,Pending,10949.33,4
2020-09-04,MCH-7989,Overheating,Completed,26907.08,11
2025-09-25,MCH-8044,Power Failure,Pending,41117.56,7
2022-02-07,MCH-1348,Software Crash,Completed,36231.41,9
2024-06-22,MCH-1698,Calibration Issue,Cancelled,6784.57,6
2024-05-05,MCH-3020,Calibration Issue,In Progress,24137.3,10
2023-05-15,MCH-4313,Overheating,In Progress,26050.05,4
2020-09-26,MCH-7763,Software Crash,Cancelled,24403.54,10
2021-03-19,MCH-3712,Leakage,Pending,1492.63,3
2022-11-03,MCH-8966,Wear and Tear,Pending,34170.74,8
2022-07-16,MCH-6708,Calibration Issue,Pending,24976.26,10
2025-06-27,MCH-3529,Sensor Error,Cancelled,23910.4,3
